DESNAN,CIIUR3,TNT,DESACT,CODACT,NANDINA,PUREZA,MINERAL,UNIDAD,MINERAL RES,TIPO_MINERAL,REFINADOS,INE,RESUMEN,ANIO
"LOS DEMAS ANTIMONIO Y SUS MANUFACTURAS,INCLUIDOS LOS DESPERDICIOS Y DESECHOS",2720,5,Antimonio Metálico y Óxidos de Antimonio,D20,8110900000,M,ANTIMONIO METALICO,K.F.,ANTIMONIO METALICO,METALICOS,ANTIMONIO,ANTIMONIO,ANTIMONIO,2018-2019
ANTIMONIO EN BRUTO;POLVO,2720,5,Antimonio Metálico y Óxidos de Antimonio,D20,8110100000,M,ANTIMONIO METALICO,K.F.,ANTIMONIO METALICO,METALICOS,ANTIMONIO,ANTIMONIO,ANTIMONIO,2010
OXIDOS DE ANTIMONIO,2411,5,Antimonio Metálico y Óxidos de Antimonio,D20,2825800000,M,ANTIMONIO TRIOXIDO,K.F.,ANTIMONIO TRIOXIDO,METALICOS,ANTIMONIO,ANTIMONIO,ANTIMONIO,2018-2019
"LAS DEMAS,ARCILLAS CAOLINICAS,INCLUSO CALCINADAS",1410,34,,C11,2507009000,C,ARCILLA,,OTROS,NO METALICO,,,OTROS,2011
LAS DEMAS ARCILLAS (CON EXCLUSION DE LAS ARCILLAS DILATADAS DE LA PARTIDA 68.06),1410,30,Otras Minas y Canteras,C11,2508400000,C,ARCILLA,,ARCILLA,NO METALICO,,,OTROS,2017
"LAS DEMAS ARENAS NATURALES DE CUALQUIER CLASE,INCLUSO COLOREADAS,EXCEPTO LAS ARENAS METALIFERAS DEL CAPITULO 26",1410,30,Otras Minas y Canteras,C11,2505900000,C,ARENA,,ARENA,NO METALICO,,,OTROS,2010
"AZUFRE DE CUALQUIER CLASE,EXCEPTO EL SUBLIMADO,EL PRECIPITADO Y EL COLOIDAL",1421,30,C11,Otras Minas y Canteras,2503000000,C,AZUFRE,,AZUFRE,NO METALICO,,,OTROS,2016
"SULFATO DE BARIO NATURAL (BARITINA),INCLUSO CALCINADO,EXCEPTO EL OXIDO DE BARIO DE LA PARTIDA No 28.16",1421,30,Sulfato de Bario Natural,C15,2511100000,C,BARITINA,K.N.,BARITINA,NO METALICO,,,OTROS,2018-2019
BENTONITA,1410,30,Bentonita,C20,2508100000,C,BENTONITA,,BENTONITA,NO METALICO,,,OTROS,2018-2019
LOS DEMAS MINERALES Y SUS CONCENTRADOS,1320,30,Otros Minerales,C10,2617900000,C,BISMUTO,K.F.,BISMUTO,METALICOS,BISMUTO,,BISMUTO,2010
"LOS DEMAS BISMUTOS Y SUS MANUFACTURAS,INCLUIDOS LOS DESPERDICIOS Y DESECHOS",2720,30,Otros Metales Manufacturados,D24,8106009000,M,BISMUTO METALICO,K.F.,BISMUTO METALICO,METALICOS,BISMUTO,,BISMUTO,2018-2019
LOS DEMAS TETRABORATOS DE DISODIO (BORAX REFINADO),2411,30,Otros Metales Manufacturados,D24,2840190000,C,BORAX,,BORAX,NO METALICO,,,OTROS,2010
"CAOLIN,INCLUSO CALCINADO",1410,30,Otras Minas y Canteras,C11,2507001000,C,CAOLIN,,CAOLIN,NO METALICO,,,OTROS,2015
LOS DEMAS CARBONATOS DE LITIO,2412,34,Sustancias y Productos Químicos,D16,2836910000,C,CARBONATO DE LITIO,,CARBONATO DE LITIO,NO METALICO,,,OTROS,2018-2019
"CLORURO DE POTASIO CON UN CONTENIDO DE POTASIO, SUPERIOR O IGUAL A 58,0 % PERO INFERIOR O IGUAL A 63,1 % EN PESO, EXPRESADO EN OXIDO DE POTASIO",2412,34,Cloruro de Potasio,D161,3104202000,C,CLORURO DE POTASIO,,CLORURO DE POTASIO,NO METALICO,,,OTROS,2018-2019
MINERALES DE COBRE Y SUS CONCENTRADOS,1320,30,Mineral de Cobre,C13,2603000000,C,COBRE,K.F.,COBRE,CONCENTRADO,,COBRE,COBRE,2018-2019
COBRE REFINADO: CATODOS Y SECCIONES DE CATODOS,2720,30,Cobre Refinado Catodos,D37,7403110000,M,COBRE METALICO,K.F.,COBRE,METALICOS,COBRE,COBRE,COBRE,2018-2019
COBRE DE CEMENTACION (COBRE PRECIPITADO),2720,30,,D24,7401002000,M,COBRE METALICO,K.F.,COBRE,METALICOS,,,COBRE,2011
CUARZO.,1429,30,C11,Otras Minas y Canteras,2506100000,C,CUARZO,,CUARZO,NO METALICO,,,OTROS,2016
"LAS DEMAS PIEDRAS PRECIOSAS O SEMIPRECIOSAS,SINTETICAS O RECONSTITUIDAS,INCLUSO TRABAJADAS O CLASIFICADAS,SIN ENSARTAR,MONTAR,NI ENGARZAR;TAMBIEN CLASIFICADAS Y ENSARTADAS TEMPORALMENTE",3691,30,Otras Minas y Canteras,C11,7104900000,C,CUARZO,,OTROS,NO METALICO,,,OTROS,2014
MINERAL DE ESTAÑO Y SUS CONCENTRADOS,1320,2,Mineral de Estaño,C3,2609000000,C,ESTAÑO,K.F.,ESTAÑO,CONCENTRADO,,ESTAÑO,ESTAÑO,2018-2019
ESTAÑO SIN ALEAR,2720,2,Estaño Metálico,D17,8001100000,M,ESTAÑO METALICO,K.F.,ESTAÑO METALICO,METALICOS,ESTAÑO,ESTAÑO,ESTAÑO,2018-2019
ALEACIONES DE ESTAÑO,2720,2,Estaño Metálico,D17,8001200000,M,ESTAÑO METALICO,K.F.,ESTAÑO METALICO,METALICOS,ESTAÑO,ESTAÑO,OTROS,2018-2019
"GRANITO SIMPLEMENTE TROCEADO,POR ASERRADO O DE OTRO MODO,EN BLOQUES O EN PLACAS CUADRADAS O RECTANGULARES",1410,30,Otras Minas y Canteras,C11,2516120000,C,GRANITO,,GRANITO,NO METALICO,,,OTROS,2018-2019
GRANITO EN BRUTO O DESBASTADO,1410,30,Piedras de Cantera,C18,2516110000,C,GRANITO,,OTROS,NO METALICO,,,OTROS,2012
"MINERALES DE HIERRO Y SUS CONCENTRADOS,SIN AGLOMERAR,EXCEPTO LAS PIRITAS DE HIERRO TOSTADAS (CENIZAS DE PIRITAS)",1310,30,Mineral de Hierro,C17,2601110000,C,HIERRO,,HIERRO,NO METALICO,,,HIERRO,2018-2019
